Date,Fuel_Price
2020-03-14,67.41
2020-03-15,67.3
2020-03-16,67.15
2020-06-07,67.75
2020-06-08,68.35
2020-06-09,68.89
2020-06-10,69.29
2020-06-11,69.89
2020-06-12,70.49
2020-06-13,71.09
2020-06-14,71.69
2020-06-15,71.86
2020-06-16,74.32
2020-06-17,74.85
2020-06-18,75.36
2020-06-19,75.9
2020-06-20,76.4
2020-06-21,76.74
2020-06-22,77.05
2020-06-23,77.24
2020-06-25,77.4
2020-06-26,77.61
2020-06-27,77.84
2020-06-29,77.89
2020-08-16,78.07
2020-08-17,78.22
2020-08-18,78.37
2020-08-20,78.47
2020-08-21,78.66
2020-08-22,78.81
2020-08-23,78.95
2020-08-24,79.07
2020-08-25,79.18
2020-08-27,79.28
2020-08-28,79.38
2020-08-30,79.47
2020-09-01,79.52
2020-09-10,79.43
2020-09-12,79.31
2020-09-14,79.17
2020-09-15,79.01
2020-09-17,78.86
2020-09-18,78.61
2020-09-22,78.53
2020-11-20,78.7
2020-11-21,78.83
2020-11-22,78.88
2020-11-23,78.94
2020-11-24,79.0
2020-11-26,79.11
2020-11-27,79.29
2020-11-28,79.52
2020-11-29,79.73
2020-12-02,79.87
2020-12-03,80.04
2020-12-04,80.23
2020-12-05,80.49
2020-12-06,80.76
2020-12-07,81.05
2021-01-05,81.05
2021-01-06,81.32
2021-01-07,81.57
2021-01-08,81.57
2021-01-09,81.57
2021-01-10,81.57
2021-01-11,81.57
2021-01-12,81.57
2021-01-13,81.81
2021-01-14,82.05
2021-01-15,82.05
2021-01-16,82.05
2021-01-17,82.05
2021-01-18,82.29
2021-01-19,82.53
2021-01-20,82.53
2021-01-21,82.53
2021-01-22,82.77
2021-01-23,83.02
2021-01-24,83.02
2021-01-25,83.02
2021-01-26,83.36
2021-01-27,83.6
2021-01-28,83.6
2021-01-29,83.6
2021-01-30,83.6
2021-01-31,83.6
2021-02-01,83.6
2021-02-02,83.6
2021-02-03,83.6
2021-02-04,83.92
2021-02-05,84.21
2021-02-06,84.21
2021-02-07,84.21
2021-02-08,84.21
2021-02-09,84.55
2021-02-10,84.84
2021-02-11,85.08
2021-02-12,85.36
2021-02-13,85.65
2021-02-14,85.93
2021-02-15,86.18
2021-02-16,86.47
2021-02-17,86.72
2021-02-18,87.05
2021-02-19,87.34
2021-02-20,87.72
2021-02-21,87.72
2021-02-22,87.72
2021-02-23,88.06
2021-02-24,88.06
2021-02-25,88.06
2021-02-26,88.06
2021-02-27,88.29
2021-02-28,88.29
2021-03-01,88.29
2021-03-02,88.29
2021-03-03,88.29
2021-03-04,88.29
2021-03-05,88.29
2021-03-06,88.29
2021-03-07,88.29
2021-03-08,88.29
2021-03-09,88.29
2021-03-10,88.29
2021-03-11,88.29
2021-03-12,88.29
2021-03-13,88.29
2021-03-14,88.29
2021-03-15,88.29
2021-03-16,88.29
2021-03-17,88.29
2021-03-18,88.29
2021-03-19,88.29
2021-03-20,88.29
2021-03-21,88.29
2021-03-22,88.29
2021-03-23,88.29
2021-03-24,88.12
2021-03-25,87.92
2021-03-26,87.92
2021-03-27,87.92
2021-03-28,87.92
2021-03-29,87.92
2021-03-30,87.7
2021-03-31,87.7
2021-04-01,87.7
2021-04-02,87.7
2021-04-03,87.7
2021-04-04,87.7
2021-04-05,87.7
2021-04-06,87.7
2021-04-07,87.7
2021-04-08,87.7
2021-04-09,87.7
2021-04-10,87.7
2021-04-11,87.7
2021-04-12,87.7
2021-04-13,87.7
2021-04-14,87.7
2021-04-15,87.55
2021-04-16,87.55
2021-04-17,87.55
2021-04-18,87.55
2021-04-19,87.55
2021-04-20,87.55
2021-04-21,87.55
2021-04-22,87.55
2021-04-23,87.55
2021-04-24,87.55
2021-04-25,87.55
